p,d,q,P,D,Q,s,aic,bic,complexity
2,0,0,1,0,0,12,291.42883220077755,297.16478101871814,3
2,0,1,1,0,0,12,293.40003562160814,300.5699716440339,4
2,0,2,1,0,0,12,295.167912288317,303.77183551522785,5
1,0,0,1,0,0,12,297.89232288120564,302.28953058960485,2
1,0,1,1,0,0,12,299.84679003256247,305.70973364376135,3
1,0,2,1,0,0,12,301.82963922339354,309.15831873739216,4
0,0,1,1,0,0,12,309.21471925551026,313.7042419399097,2
0,0,2,1,0,0,12,310.8699975656465,316.85602781151243,3
0,0,0,1,0,0,12,311.1084945173391,314.10150964027207,1
1,0,2,0,0,0,0,396.9608235879027,403.9115020610362,3
