vessel,p,d,q,P,D,Q,s,aic,bic,train_observations
Fartøy 1,1.0,1.0,2.0,0.0,0.0,1.0,12,249.16152214628414,255.9980012962165,45
Fartøy 10,2.0,0.0,2.0,1.0,0.0,0.0,12,299.80270366610216,308.406626893013,45
Fartøy 11,2.0,0.0,0.0,1.0,0.0,0.0,12,261.0564538034487,266.7924026213893,45
Fartøy 12,0.0,0.0,2.0,1.0,0.0,1.0,12,196.95290773758893,203.9588946458997,45
Fartøy 13,,,,,,,0,,,45
Fartøy 14,0.0,0.0,2.0,0.0,0.0,1.0,12,144.99735204865908,150.6021415753077,45
Fartøy 15,0.0,0.0,2.0,0.0,0.0,1.0,12,198.2600691844872,203.86485871113584,45
Fartøy 2,2.0,0.0,0.0,1.0,0.0,0.0,12,291.42883220077755,297.16478101871814,45
Fartøy 3,2.0,1.0,0.0,1.0,0.0,0.0,12,123.86001452277466,129.4648040494233,45
Fartøy 4,0.0,0.0,2.0,0.0,0.0,1.0,12,258.13405695644093,263.73884648308956,45
Fartøy 5,2.0,0.0,1.0,0.0,0.0,1.0,12,221.9500253977622,229.11996142018793,45
Fartøy 6,0.0,0.0,2.0,1.0,0.0,1.0,12,181.0161242505404,188.02211115885117,45
Fartøy 7,0.0,1.0,2.0,1.0,0.0,1.0,12,225.47057146166716,232.30705061159952,45
Fartøy 8,2.0,0.0,1.0,1.0,0.0,0.0,12,285.87024123679674,293.04017725922245,45
Fartøy 9,0.0,0.0,2.0,0.0,0.0,1.0,12,186.58618282956388,192.1909723562125,45
