vessel,ljung_box_lag,ljung_box_pvalue
Fartøy 1,12.0,0.6669335822533664
Fartøy 10,12.0,0.7274942184986644
Fartøy 11,12.0,0.9999860362222586
Fartøy 12,12.0,0.9417304442670289
Fartøy 13,,
Fartøy 14,12.0,0.9999998372227585
Fartøy 15,12.0,0.9999992142893213
Fartøy 2,12.0,0.9791079447279386
Fartøy 3,12.0,0.4397813215015476
Fartøy 4,12.0,0.9944961998059357
Fartøy 5,12.0,0.999999999999999
Fartøy 6,12.0,0.9998892598121556
Fartøy 7,12.0,0.5067504358695647
Fartøy 8,12.0,0.47355949391534347
Fartøy 9,12.0,0.9999999999855603
