vessel,label,d,D,n_obs,adf_stat,p_value,stationary,critical_5pct
Fartøy 1,Ingen differensiering,0,0,45,-2.739907011769333,0.06738350633132582,False,-2.931549768951162
Fartøy 1,Første differense,1,0,44,-15.562265364042267,2.035447206095025e-28,True,-2.931549768951162
Fartøy 1,Sesongdifferense (12),0,1,33,-2.1958152612693382,0.2077677800715783,False,-2.960525341210433
Fartøy 1,Første + sesongdifferense,1,1,32,-6.1923678486346585,6.079153619666389e-08,True,-2.9640707407407407
Fartøy 10,Ingen differensiering,0,0,45,-5.6830264175400975,8.401132402726667e-07,True,-2.929885661157025
Fartøy 10,Første differense,1,0,44,-6.382100502277843,2.2093964759790398e-08,True,-2.9351348158036012
Fartøy 10,Sesongdifferense (12),0,1,33,-3.671752192716552,0.004528492557996949,True,-2.960525341210433
Fartøy 10,Første + sesongdifferense,1,1,32,-6.458779707871594,1.4608093732545116e-08,True,-2.9678817237279103
Fartøy 11,Ingen differensiering,0,0,45,-4.99563337952812,2.263903721787589e-05,True,-2.929885661157025
Fartøy 11,Første differense,1,0,44,-9.014412262858464,6.0043966120049674e-15,True,-2.931549768951162
Fartøy 11,Sesongdifferense (12),0,1,33,-3.6417282939911226,0.005011594829213682,True,-2.9572185644531253
Fartøy 11,Første + sesongdifferense,1,1,32,-7.514925071030691,3.926160294212616e-11,True,-2.960525341210433
Fartøy 12,Ingen differensiering,0,0,45,-6.957646221893753,9.339210536655007e-10,True,-2.929885661157025
Fartøy 12,Første differense,1,0,44,-7.317552740895541,1.2180208385812653e-10,True,-2.9351348158036012
Fartøy 12,Sesongdifferense (12),0,1,33,-5.734613284242776,6.481563805100653e-07,True,-2.9572185644531253
Fartøy 12,Første + sesongdifferense,1,1,32,-6.392768345406693,2.0861423095323493e-08,True,-2.9678817237279103
Fartøy 14,Ingen differensiering,0,0,45,-6.633249580710798,5.645381203188959e-09,True,-2.929885661157025
Fartøy 14,Første differense,1,0,44,-6.082762530298218,1.0822533964185368e-07,True,-2.9351348158036012
Fartøy 14,Sesongdifferense (12),0,1,33,-5.477225575051661,2.3270204083626002e-06,True,-2.9572185644531253
Fartøy 14,Første + sesongdifferense,1,1,32,-6.363961030678927,2.4356379408416995e-08,True,-2.9640707407407407
Fartøy 15,Ingen differensiering,0,0,45,-4.659711646495689,0.00010010753250831934,True,-2.931549768951162
Fartøy 15,Første differense,1,0,44,-7.55763490577134,3.069354695501601e-11,True,-2.933297331821618
Fartøy 15,Sesongdifferense (12),0,1,33,-1.5939708148278695,0.48662145969213355,False,-2.9640707407407407
Fartøy 15,Første + sesongdifferense,1,1,32,-6.969371837362016,8.745059924534435e-10,True,-2.9640707407407407
Fartøy 2,Ingen differensiering,0,0,45,-3.6782741010460187,0.004429336619445698,True,-2.929885661157025
Fartøy 2,Første differense,1,0,44,-6.131194944872584,8.393953262609947e-08,True,-2.933297331821618
Fartøy 2,Sesongdifferense (12),0,1,33,-4.357975009374328,0.000352007467064764,True,-2.9572185644531253
Fartøy 2,Første + sesongdifferense,1,1,32,-6.998563195375969,7.423476306975105e-10,True,-2.960525341210433
Fartøy 3,Ingen differensiering,0,0,45,-2.64719014424845,0.08363087264958013,False,-2.933297331821618
Fartøy 3,Første differense,1,0,44,-5.301404675243312,5.439086673888976e-06,True,-2.9351348158036012
Fartøy 3,Sesongdifferense (12),0,1,33,-2.7695070183946404,0.06276321466683256,False,-2.960525341210433
Fartøy 3,Første + sesongdifferense,1,1,32,-4.383986061644525,0.0003168136700257112,True,-2.9678817237279103
Fartøy 4,Ingen differensiering,0,0,45,-6.303018721026696,3.3758199474404503e-08,True,-2.929885661157025
