vessel,spec,aic,bic,train_observations
Fartøy 1,ANN,250.6616766326609,254.27500161220155,45
Fartøy 10,ANN,294.2332038578186,297.84652883735924,45
Fartøy 11,ANN,230.2081508083299,233.82147578787053,45
Fartøy 12,ANN,141.66777911098796,145.2811040905286,45
Fartøy 13,CONST,,,45
Fartøy 14,ANN,62.53435228908353,66.14767726862416,45
Fartøy 15,ANN,163.69828709851268,167.31161207805332,45
Fartøy 2,AAA,299.2254079439543,328.1320077802794,45
Fartøy 3,ANN,163.31503289044647,166.9283578699871,45
Fartøy 4,ANN,245.3049677896997,248.91829276924034,45
Fartøy 5,ANN,281.10901016754104,284.7223351470817,45
Fartøy 6,ANN,245.23612917845045,248.8494541579911,45
Fartøy 7,ANN,269.8290576961836,273.4423826757243,45
Fartøy 8,ANN,284.78697810173895,288.4003030812796,45
Fartøy 9,ANN,232.97392307876328,236.5872480583039,45
